icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
a9cf55,2020/12/24 13:09:45,Newark Liberty International Airport,2020/12/24 13:44:12,Bradley International Airport,WIG8303,1073,66,1654,60,1,13
c01fb9,2020/12/24 13:01:00,Toronto Lester B. Pearson International Airport,2020/12/24 13:44:11,Montreal International (Mirabel) Airport,MAL8082,1700,85,1707,13,0,2
a1739a,2020/12/24 13:10:24,General Mitchell International Airport,2020/12/24 13:37:41,KY70,FRG1050,4986,694,9791,2067,2,5
401b07,2020/12/24 13:01:46,RAF Benson,2020/12/24 13:36:06,RAF Benson,GBBPP,140,53,2704,60,1,6
a38a21,2020/12/24 13:09:11,Dallas Fort Worth International Airport,2020/12/24 13:53:43,San Antonio International Airport,UPS780,1195,70,5616,149,4,16
899145,2020/12/24 13:15:00,Penghu Magong Airport,2020/12/24 13:36:56,Tainan International Airport / Tainan Air Base,UIA8682,1451,227,1313,11,0,2
a2ec14,2020/12/24 13:03:03,TN79,2020/12/24 13:42:30,Gwinnett County Briscoe Field,LBQ640,12383,1935,9550,293,1,6
a533ca,2020/12/24 13:19:00,Kansas City International Airport,2020/12/24 13:56:48,St. Louis Lambert International Airport,UPS642,1196,23,3262,40,5,6
406b9c,2020/12/24 13:30:56,Aberdeen Dyce Airport,2020/12/24 13:55:06,Aberdeen Dyce Airport,HKS305A,465,73,359,118,0,0
a47dd0,2020/12/24 13:06:20,Joint Base Andrews,2020/12/24 13:32:13,3MD6,TRP2,1618,13,1650,7,1,15
e483dd,2020/12/24 13:16:10,Guarulhos - Governador André Franco Montoro International Airport,2020/12/24 13:46:50,SDIN,TAM3199,4892,324,11506,1759,0,2
89913d,2020/12/24 13:21:00,Taichung International Airport / Ching Chuang Kang Air Base,2020/12/24 13:47:06,Penghu Magong Airport,UIA8651,5425,674,4229,136,1,1
45caae,2020/12/24 13:06:31,Copenhagen Kastrup Airport,2020/12/24 13:45:28,Aalborg Airport,DTR158,257,101,360,19,0,0
3c4d69,2020/12/24 13:06:01,Hamburg Helmut Schmidt Airport,2020/12/24 13:57:10,Frankfurt Airport,DLH4EM,1291,90,1061,41,0,5
484bac,2020/12/24 13:20:30,De Kooy Airfield / Den Helder Naval Air Station,2020/12/24 13:30:57,EHTX,HNL22A,333,52,11211,608,0,1
346355,2020/12/24 13:15:44,Josep Tarradellas Barcelona-El Prat Airport,2020/12/24 13:39:20,Menorca Airport,VLG37LX,14130,1398,23608,906,0,1
84c7d2,2020/12/24 13:05:00,Fukuoka Airport,2020/12/24 13:57:00,Chubu Centrair International Airport,SFJ66,421,58,10282,467,0,1
020153,2020/12/24 13:02:22,Rabat-Salé Airport,2020/12/24 13:32:54,Rabat-Salé Airport,CNBZO,9787,190,16803,373,0,0
494110,2020/12/24 13:05:06,Westerland Sylt Airport,2020/12/24 13:54:44,Düsseldorf Airport,NJE144K,693,37,1305,31,0,4
39c499,2020/12/24 13:15:19,Valence-Chabeuil Airport,2020/12/24 13:39:34,LFHE,FHREZ,14157,754,448,367,0,2
a6c2aa,2020/12/24 13:01:03,Gloucestershire Airport,2020/12/24 13:31:08,EGTF,N5347V,515,61,1364,6,0,8
06a2d1,2020/12/24 13:02:53,Doha International Airport,2020/12/24 13:42:35,Doha International Airport,A7JJJ,1483,187,2632,111,1,1
404918,2020/12/24 13:05:14,Liverpool John Lennon Airport,2020/12/24 13:44:58,Manchester Airport,GEGCD,3145,310,7140,256,0,1
008950,2020/12/24 13:03:11,Cape Town International Airport,2020/12/24 13:13:27,Cape Town International Airport,ZTRDA,1602,38,1404,7,1,3
399de0,2020/12/24 13:24:48,Nîmes-Arles-Camargue Airport,2020/12/24 13:56:59,Nîmes-Arles-Camargue Airport,HORUS30,1650,241,6088,393,1,1
e49403,2020/12/24 13:02:52,Guarulhos - Governador André Franco Montoro International Airport,2020/12/24 13:13:29,SBJD,PRMSO,3090,126,22300,309,0,1
33ffc0,2020/12/24 13:19:54,LIRE,2020/12/24 13:44:20,Ciampino–G. B. Pastine International Airport,IAM3181,362,170,625,84,0,4
400f21,2020/12/24 13:09:37,EGNP,2020/12/24 13:40:06,Leeds Bradford Airport,GHDEW,912,47,2153,5,1,4
a16bf6,2020/12/24 13:01:31,Dallas Fort Worth International Airport,2020/12/24 13:26:05,95TS,AMF1792,1200,2,11618,1909,4,6
a52711,2020/12/24 13:10:25,James M Cox Dayton International Airport,2020/12/24 13:41:23,Willow Run Airport,KFS77,992,142,5955,406,4,10
4caad9,2020/12/24 13:05:01,George Best Belfast City Airport,2020/12/24 13:51:20,Leeds Bradford Airport,STK8G,3500,429,1584,39,1,4
a55792,2020/12/24 13:41:30,Chicago Rockford International Airport,2020/12/24 13:58:27,K8C4,UPS572,1876,581,18826,2449,4,2
4077d7,2020/12/24 13:30:36,EGWE,2020/12/24 13:44:58,EGTC,GILLD,8229,47,4906,40,2,5
a0e0cc,2020/12/24 13:09:31,Hagerstown Regional Richard A Henson Field,2020/12/24 13:30:59,Allegheny County Airport,N156DH,320,29,11887,570,2,6
a5a2d9,2020/12/24 13:18:08,Albany International Airport,2020/12/24 13:44:28,Syracuse Hancock International Airport,UPS1134,5514,1269,5140,229,1,14
478362,2020/12/24 13:06:02,"Kristiansand Airport, Kjevik",2020/12/24 13:36:12,ENUL,WIF86F,7885,1780,15140,1531,0,0
48548e,2020/12/24 13:31:04,Düsseldorf Airport,2020/12/24 13:58:58,Amsterdam Airport Schiphol,KLM1856,276,16,1471,3,0,1
485cfd,2020/12/24 13:09:26,De Kooy Airfield / Den Helder Naval Air Station,2020/12/24 13:21:50,EHTX,HNL62A,187,29,17243,593,0,0
89914a,2020/12/24 13:24:00,Kaohsiung International Airport,2020/12/24 13:52:59,Penghu Magong Airport,MDA349,834,188,4226,136,0,1
478787,2020/12/24 13:17:18,ENJB,2020/12/24 13:38:10,Notodden Airport,LNTFK,2933,276,20546,1078,0,1
a51d46,2020/12/24 13:15:16,28XS,2020/12/24 13:41:11,Fort Worth Meacham International Airport,N429CF,6000,74,10665,111,5,23
484966,2020/12/24 13:10:39,London Heathrow Airport,2020/12/24 13:53:14,Amsterdam Airport Schiphol,KLM1008,664,63,2675,3,3,1
800cc9,2020/12/24 13:10:02,Kempegowda International Airport,2020/12/24 13:47:19,Cochin International Airport,IAD1624,2788,213,25672,1171,1,0
7c7c36,2020/12/24 13:06:45,Toowoomba Wellcamp Airport,2020/12/24 13:25:57,Warwick Airport,YTK,8346,1666,24826,1272,1,0
a17bc3,2020/12/24 13:17:24,KEYE,2020/12/24 13:32:27,Columbus Municipal Airport,N195LL,12095,114,7574,341,2,13
4ca607,2020/12/24 13:04:05,Dublin Airport,2020/12/24 13:50:52,Glasgow International Airport,STK2GL,12,89,5924,121,1,0
800c88,2020/12/24 13:01:14,Pune Airport / Lohagaon Air Force Station,2020/12/24 13:28:47,Chhatrapati Shivaji International Airport,AIC1944,7045,1450,783,56,0,1
a08f94,2020/12/24 13:05:41,Chicago Rockford International Airport,2020/12/24 13:31:59,MI58,UPS1476,2512,581,5532,2377,4,6
406bd4,2020/12/24 13:42:16,EGPG,2020/12/24 13:58:25,EGPJ,GPIPZ,12798,426,17684,209,0,2
